StockKeyLabel,FisheriesGuild,F_FMSY,catches,landings,discards,FMSY,F,AssessmentYear,Year,SSB_MSYBtrigger,SSB,MSYBtrigger,Status,total
nep.fu.11,crustacean,0.592592592592593,2020,1961,59,10.8,6.4,2019,2019,2.28148148148148,1232,540,GREEN,5756
nep.fu.12,crustacean,0.41025641025641,2590,2536,54,11.7,4.8,2019,2019,2.3156862745098,2362,1020,GREEN,5756
nep.fu.13,crustacean,0.732582781456954,4209,4141,68,15.1,11.062,2019,2019,3.59137931034483,2083,580,GREEN,5756
nep.fu.14,crustacean,0.232181818181818,NA,263,9,11,2.554,2019,2019,1.14,399,350,GREEN,5756
nep.fu.15,crustacean,0.55,NA,5756,1231,18.2,10.01,2019,2019,1.468,4404,3000,GREEN,5756
nep.fu.16,crustacean,0.956129032258064,NA,2751,NA,6.2,5.928,2019,2019,NA,1010,NA,GREY,5756
nep.fu.17,crustacean,0.635294117647059,NA,536,106,8.5,5.4,2019,2019,0.912962962962963,493,540,RED,5756
nep.fu.19,crustacean,0.664731182795699,NA,219,65,9.3,6.182,2019,2019,0.897674418604651,386,430,RED,5756
nep.fu.2021,crustacean,0.5,NA,1803,381,6,3,2019,2019,NA,617,NA,GREY,5756
nep.fu.22,crustacean,1.0809375,NA,1974,350,12.8,13.836,2019,2019,1.13232323232323,1121,990,RED,5756
